Date,Product,Demand,Inventory
2019-02-03,Product B,77,16
2019-02-03,Product C,182,77
2019-02-04,Product A,170,59
2019-02-04,Product B,190,39
2019-02-04,Product C,66,82
2019-02-05,Product A,163,96
2019-02-05,Product B,139,62
2019-02-05,Product C,52,47
2019-02-06,Product A,147,85
2019-02-06,Product B,126,34
2019-02-06,Product C,119,76
2019-02-07,Product A,98,49
2019-02-07,Product B,122,29
2019-02-07,Product C,130,90
2019-02-08,Product A,174,63
2019-02-08,Product B,194,68
2019-02-08,Product C,184,51
2019-02-09,Product A,77,21
2019-02-09,Product B,123,28
2019-02-09,Product C,184,73
2019-02-10,Product A,110,17
2019-02-10,Product B,164,22
2019-02-10,Product C,134,25
2019-02-11,Product A,159,25
2019-02-11,Product B,155,65
2019-02-11,Product C,73,62
2019-02-12,Product A,144,87
2019-02-12,Product B,66,46
2019-02-12,Product C,166,35
2019-02-13,Product A,74,74
2019-02-13,Product B,75,42
2019-02-13,Product C,132,24
2019-02-14,Product A,192,93
2019-02-14,Product B,172,46
2019-02-14,Product C,88,29
2019-02-15,Product A,113,69
2019-02-15,Product B,198,99
2019-02-15,Product C,59,40
2019-02-16,Product A,183,75
2019-02-16,Product B,117,61
2019-02-16,Product C,111,87
2019-02-17,Product A,163,58
2019-02-17,Product B,157,92
2019-02-17,Product C,77,12
2019-02-18,Product A,61,66
2019-02-18,Product B,141,49
2019-02-18,Product C,51,17
2019-02-19,Product A,173,42
2019-02-19,Product B,102,99
2019-02-19,Product C,87,18
2019-02-20,Product A,115,58
2019-02-20,Product B,149,45
2019-02-20,Product C,176,1
2019-02-21,Product A,168,53
2019-02-21,Product B,114,62
2019-02-21,Product C,180,56
2019-02-22,Product A,158,21
2019-02-22,Product B,78,43
2019-02-22,Product C,198,25
2019-02-23,Product A,84,39
2019-02-23,Product B,100,16
2019-02-23,Product C,84,78
2019-02-24,Product A,151,13
2019-02-24,Product B,81,78
2019-02-24,Product C,158,90
2019-02-25,Product A,95,42
2019-02-25,Product B,59,94
2019-02-25,Product C,132,41
2019-02-26,Product A,120,21
2019-02-26,Product B,110,15
2019-02-26,Product C,68,3
2019-02-27,Product A,100,3
2019-02-27,Product B,142,2
2019-02-27,Product C,150,25
2019-02-28,Product A,74,32
2019-02-28,Product B,114,18
2019-02-28,Product C,89,70
2019-03-01,Product A,86,80
2019-03-01,Product B,125,3
2019-03-01,Product C,191,39
2019-03-02,Product A,192,21
2019-03-02,Product B,135,54
2019-03-02,Product C,166,29
2019-03-03,Product A,174,18
2019-03-03,Product B,119,16
2019-03-03,Product C,116,35
2019-03-04,Product A,89,51
2019-03-04,Product B,194,82
2019-03-04,Product C,154,71
2019-03-05,Product A,84,25
2019-03-05,Product B,130,31
2019-03-05,Product C,162,62
2019-03-06,Product A,107,80
2019-03-06,Product B,143,92
2019-03-06,Product C,52,7
2019-03-07,Product A,97,2
2019-03-07,Product B,90,40
2019-03-07,Product C,164,45
2019-03-08,Product A,167,92
2019-03-08,Product B,54,11
2019-03-08,Product C,131,16
2019-03-09,Product A,50,11
2019-03-09,Product B,167,66
2019-03-09,Product C,128,43
2019-03-10,Product A,151,4
2019-03-10,Product B,128,65
2019-03-10,Product C,158,4
2019-03-11,Product A,90,25
2019-03-11,Product B,200,82
2019-03-11,Product C,67,49
2019-03-12,Product A,126,1
2019-03-12,Product B,146,38
2019-03-12,Product C,105,27
2019-03-13,Product A,76,60
2019-03-13,Product B,81,46
2019-03-13,Product C,103,4
2019-03-14,Product A,171,71
2019-03-14,Product B,130,82
2019-03-14,Product C,90,40
2019-03-15,Product A,50,98
2019-03-15,Product B,163,25
2019-03-15,Product C,93,91
2019-03-16,Product A,71,90
2019-03-16,Product B,160,80
2019-03-16,Product C,113,50
2019-03-17,Product A,173,66
2019-03-17,Product B,94,78
2019-03-17,Product C,94,62
2019-03-18,Product A,125,73
2019-03-18,Product B,124,13
2019-03-18,Product C,155,16
2019-03-19,Product A,163,39
2019-03-19,Product B,164,41
2019-03-19,Product C,150,37
2019-03-20,Product A,153,13
2019-03-20,Product B,54,53
2019-03-20,Product C,187,31
2019-03-21,Product A,150,44
2019-03-21,Product B,199,20
2019-03-21,Product C,75,39
2019-03-22,Product A,81,90
2019-03-22,Product B,94,82
2019-03-22,Product C,139,66
2019-03-23,Product A,76,11
2019-03-23,Product B,157,28
2019-03-23,Product C,51,26
2019-03-24,Product A,193,60
2019-03-24,Product B,99,45
2019-03-24,Product C,122,77
2019-03-25,Product A,90,48
2019-03-25,Product B,191,42
2019-03-25,Product C,131,48
2019-03-26,Product A,140,12
2019-03-26,Product B,126,26
2019-03-26,Product C,61,84
2019-03-27,Product A,73,4
2019-03-27,Product B,196,83
2019-03-27,Product C,165,49
2019-03-28,Product A,71,36
2019-03-28,Product B,108,36
2019-03-28,Product C,136,64
2019-03-29,Product A,151,61
2019-03-29,Product B,75,79
2019-03-29,Product C,109,75
2019-03-30,Product A,166,28
2019-03-30,Product B,130,19
2019-03-30,Product C,157,20
2019-03-31,Product A,145,93
2019-03-31,Product B,86,86
2019-03-31,Product C,193,83
2019-04-01,Product A,86,27
2019-04-01,Product B,187,84
2019-04-01,Product C,123,25
2019-04-02,Product A,108,10
2019-04-02,Product B,123,88
2019-04-02,Product C,91,65
2019-04-03,Product A,52,12
2019-04-03,Product B,137,18
2019-04-03,Product C,199,86
2019-04-04,Product A,67,16
2019-04-04,Product B,69,66
2019-04-04,Product C,194,22
2019-04-05,Product A,168,10
2019-04-05,Product B,84,41
2019-04-05,Product C,89,10
2019-04-06,Product A,162,54
2019-04-06,Product B,194,50
2019-04-06,Product C,186,16
2019-04-07,Product A,187,47
2019-04-07,Product B,163,26
2019-04-07,Product C,155,38
2019-04-08,Product A,92,39
2019-04-08,Product B,131,33
2019-04-08,Product C,57,21
2019-04-09,Product A,95,1
2019-04-09,Product B,151,49
2019-04-09,Product C,155,89
2019-04-10,Product A,150,21
2019-04-10,Product B,177,94
2019-04-10,Product C,50,34
2019-04-11,Product A,91,93
2019-04-11,Product B,80,8
2019-04-11,Product C,68,14
2019-04-12,Product A,90,4
2019-04-12,Product B,61,37
2019-04-12,Product C,197,91
2019-04-13,Product A,107,60
2019-04-13,Product B,74,19
2019-04-13,Product C,76,56
2019-04-14,Product A,120,83
2019-04-14,Product B,138,0
2019-04-14,Product C,155,45
2019-04-15,Product A,140,8
2019-04-15,Product B,60,19
2019-04-15,Product C,104,29
2019-04-16,Product A,157,9
2019-04-16,Product B,110,40
2019-04-16,Product C,63,82
2019-04-17,Product A,133,67
2019-04-17,Product B,70,78
2019-04-17,Product C,140,31
2019-04-18,Product A,91,64
2019-04-18,Product B,134,11
2019-04-18,Product C,152,43
2019-04-19,Product A,74,69
2019-04-19,Product B,102,19
2019-04-19,Product C,153,17
2019-04-20,Product A,101,97
2019-04-20,Product B,176,18
2019-04-20,Product C,87,41
2019-04-21,Product A,148,49
2019-04-21,Product B,114,1
2019-04-21,Product C,150,97
2019-04-22,Product A,105,40
2019-04-22,Product B,75,67
2019-04-22,Product C,161,93
2019-04-23,Product A,128,28
2019-04-23,Product B,171,24
2019-04-23,Product C,127,78
2019-04-24,Product A,118,84
2019-04-24,Product B,152,10
2019-04-24,Product C,185,48
2019-04-25,Product A,164,22
2019-04-25,Product B,111,93
2019-04-25,Product C,157,1
2019-04-26,Product A,82,91
2019-04-26,Product B,115,76
2019-04-26,Product C,121,99
2019-04-27,Product A,119,1
2019-04-27,Product B,101,74
2019-04-27,Product C,120,83
2019-04-28,Product A,109,55
2019-04-28,Product B,71,67
2019-04-28,Product C,146,74
2019-04-29,Product A,54,83
2019-04-29,Product B,56,99
2019-04-29,Product C,140,26
2019-04-30,Product A,184,54
2019-04-30,Product B,160,15
2019-04-30,Product C,79,37
2019-05-01,Product A,166,95
2019-05-01,Product B,160,3
2019-05-01,Product C,116,87
2019-05-02,Product A,110,11
2019-05-02,Product B,51,95
2019-05-02,Product C,190,94
2019-05-03,Product A,127,90
2019-05-03,Product B,93,49
2019-05-03,Product C,67,30
2019-05-04,Product A,92,24
2019-05-04,Product B,124,31
2019-05-04,Product C,154,25
2019-05-05,Product A,131,49
2019-05-05,Product B,135,38
2019-05-05,Product C,103,10
2019-05-06,Product A,118,13
2019-05-06,Product B,199,4
2019-05-06,Product C,155,27
2019-05-07,Product A,77,72
2019-05-07,Product B,56,71
2019-05-07,Product C,98,14
2019-05-08,Product A,135,60
2019-05-08,Product B,167,53
2019-05-08,Product C,75,37
2019-05-09,Product A,54,97
2019-05-09,Product B,92,70
2019-05-09,Product C,68,38
2019-05-10,Product A,93,67
2019-05-10,Product B,66,17
2019-05-10,Product C,125,28
2019-05-11,Product A,157,49
2019-05-11,Product B,83,48
2019-05-11,Product C,53,12
2019-05-12,Product A,176,42
2019-05-12,Product B,146,41
2019-05-12,Product C,83,16
2019-05-13,Product A,127,37
2019-05-13,Product B,110,73
2019-05-13,Product C,169,83
2019-05-14,Product A,184,31
2019-05-14,Product B,50,1
2019-05-14,Product C,75,48
2019-05-15,Product A,199,99
2019-05-15,Product B,154,63
2019-05-15,Product C,112,47
2019-05-16,Product A,70,19
2019-05-16,Product B,82,62
2019-05-16,Product C,58,35
2019-05-17,Product A,120,28
2019-05-17,Product B,167,0
2019-05-17,Product C,152,24
2019-05-18,Product A,50,25
2019-05-18,Product B,79,66
2019-05-18,Product C,63,2
2019-05-19,Product A,114,88
2019-05-19,Product B,81,76
2019-05-19,Product C,88,10
2019-05-20,Product A,92,48
2019-05-20,Product B,109,66
2019-05-20,Product C,63,56
2019-05-21,Product A,132,72
2019-05-21,Product B,95,8
2019-05-21,Product C,157,50
2019-05-22,Product A,171,37
2019-05-22,Product B,112,37
2019-05-22,Product C,160,84
2019-05-23,Product A,187,31
2019-05-23,Product B,70,75
2019-05-23,Product C,80,80
2019-05-24,Product A,51,81
2019-05-24,Product B,162,8
2019-05-24,Product C,86,70
2019-05-25,Product A,81,97
2019-05-25,Product B,109,44
2019-05-25,Product C,91,85
2019-05-26,Product A,94,85
2019-05-26,Product B,179,62
2019-05-26,Product C,147,27
2019-05-27,Product A,168,36
2019-05-27,Product B,62,68
2019-05-27,Product C,155,27
2019-05-28,Product A,184,12
2019-05-28,Product B,97,75
2019-05-28,Product C,95,4
2019-05-29,Product A,135,94
2019-05-29,Product B,109,9
2019-05-29,Product C,192,22
2019-05-30,Product A,110,33
2019-05-30,Product B,126,53
2019-05-30,Product C,100,41
2019-05-31,Product A,170,46
2019-05-31,Product B,140,46
2019-05-31,Product C,77,9
2019-06-01,Product A,151,42
2019-06-01,Product B,190,73
2019-06-01,Product C,52,15
2019-06-02,Product A,98,66
2019-06-02,Product B,113,13
2019-06-02,Product C,127,78
2019-06-03,Product A,153,12
2019-06-03,Product B,84,10
2019-06-03,Product C,154,28
2019-06-04,Product A,165,64
2019-06-04,Product B,97,2
2019-06-04,Product C,195,46
2019-06-05,Product A,81,0
2019-06-05,Product B,122,7
2019-06-05,Product C,187,12
2019-06-06,Product A,150,65
2019-06-06,Product B,113,86
2019-06-06,Product C,102,6
2019-06-07,Product A,142,73
2019-06-07,Product B,107,96
2019-06-07,Product C,167,97
2019-06-08,Product A,126,35
2019-06-08,Product B,66,8
2019-06-08,Product C,57,30
2019-06-09,Product A,103,70
2019-06-09,Product B,155,62
2019-06-09,Product C,72,97
2019-06-10,Product A,176,92
2019-06-10,Product B,85,79
2019-06-10,Product C,124,15
2019-06-11,Product A,150,86
2019-06-11,Product B,189,90
2019-06-11,Product C,143,86
2019-06-12,Product A,102,23
2019-06-12,Product B,119,38
2019-06-12,Product C,98,35
2019-06-13,Product A,65,6
2019-06-13,Product B,56,23
2019-06-13,Product C,147,47
2019-06-14,Product A,184,91
2019-06-14,Product B,149,34
2019-06-14,Product C,189,25
2019-06-15,Product A,192,62
2019-06-15,Product B,187,74
2019-06-15,Product C,159,79
2019-06-16,Product A,89,38
2019-06-16,Product B,111,50
2019-06-16,Product C,107,65
2019-06-17,Product A,103,3
2019-06-17,Product B,115,86
2019-06-17,Product C,165,25
2019-06-18,Product A,156,0
2019-06-18,Product B,127,36
2019-06-18,Product C,148,9
2019-06-19,Product A,102,40
2019-06-19,Product B,65,63
2019-06-19,Product C,96,42
2019-06-20,Product A,170,30
2019-06-20,Product B,160,39
2019-06-20,Product C,136,55
2019-06-21,Product A,200,10
2019-06-21,Product B,76,37
2019-06-21,Product C,76,78
2019-06-22,Product A,187,81
2019-06-22,Product B,127,2
2019-06-22,Product C,68,26
2019-06-23,Product A,58,55
2019-06-23,Product B,119,54
2019-06-23,Product C,154,68
2019-06-24,Product A,178,61
2019-06-24,Product B,147,53
2019-06-24,Product C,162,36
2019-06-25,Product A,192,10
2019-06-25,Product B,99,68
2019-06-25,Product C,179,36
2019-06-26,Product A,154,86
2019-06-26,Product B,163,26
2019-06-26,Product C,75,49
2019-06-27,Product A,170,94
2019-06-27,Product B,172,79
2019-06-27,Product C,152,65
2019-06-28,Product A,117,95
2019-06-28,Product B,198,38
2019-06-28,Product C,146,17
2019-06-29,Product A,152,42
2019-06-29,Product B,116,69
2019-06-29,Product C,175,43
2019-06-30,Product A,115,71
2019-06-30,Product B,173,39
2019-06-30,Product C,69,8
2019-07-01,Product A,69,74
2019-07-01,Product B,186,57
2019-07-01,Product C,166,5
2019-07-02,Product A,75,57
2019-07-02,Product B,139,91
2019-07-02,Product C,164,59
2019-07-03,Product A,188,38
2019-07-03,Product B,117,14
2019-07-03,Product C,170,34
2019-07-04,Product A,165,83
2019-07-04,Product B,184,54
2019-07-04,Product C,194,74
2019-07-05,Product A,142,21
2019-07-05,Product B,194,75
2019-07-05,Product C,162,75
2019-07-06,Product A,101,0
2019-07-06,Product B,137,2
2019-07-06,Product C,76,6
2019-07-07,Product A,134,86
2019-07-07,Product B,121,32
2019-07-07,Product C,91,34
2019-07-08,Product A,168,81
2019-07-08,Product B,78,14
2019-07-08,Product C,56,46
2019-07-09,Product A,129,29
2019-07-09,Product B,130,47
2019-07-09,Product C,100,48
2019-07-10,Product A,185,87
2019-07-10,Product B,126,61
2019-07-10,Product C,183,55
2019-07-11,Product A,148,74
2019-07-11,Product B,65,33
2019-07-11,Product C,67,19
2019-07-12,Product A,125,77
2019-07-12,Product B,73,19
2019-07-12,Product C,115,95
2019-07-13,Product A,66,17
2019-07-13,Product B,156,59
2019-07-13,Product C,60,40
2019-07-14,Product A,157,36
2019-07-14,Product B,198,96
2019-07-14,Product C,129,64
2019-07-15,Product A,71,43
2019-07-15,Product B,177,21
2019-07-15,Product C,90,66
2019-07-16,Product A,85,43
2019-07-16,Product B,168,30
2019-07-16,Product C,177,75
2019-07-17,Product A,73,36
2019-07-17,Product B,91,74
2019-07-17,Product C,80,92
2019-07-18,Product A,183,11
2019-07-18,Product B,106,26
2019-07-18,Product C,157,0
2019-07-19,Product A,162,21
2019-07-19,Product B,53,64
2019-07-19,Product C,189,89
2019-07-20,Product A,192,76
2019-07-20,Product B,200,62
2019-07-20,Product C,179,47
2019-07-21,Product A,66,22
2019-07-21,Product B,171,44
2019-07-21,Product C,130,58
2019-07-22,Product A,60,87
2019-07-22,Product B,80,28
2019-07-22,Product C,55,70
2019-07-23,Product A,132,82
2019-07-23,Product B,139,7
2019-07-23,Product C,187,95
2019-07-24,Product A,96,77
2019-07-24,Product B,65,97
2019-07-24,Product C,108,96
2019-07-25,Product A,176,94
2019-07-25,Product B,142,32
2019-07-25,Product C,144,21
2019-07-26,Product A,142,45
2019-07-26,Product B,67,97
2019-07-26,Product C,57,73
2019-07-27,Product A,165,72
2019-07-27,Product B,152,26
2019-07-27,Product C,62,4
2019-07-28,Product A,119,75
2019-07-28,Product B,66,60
2019-07-28,Product C,67,94
2019-07-29,Product A,157,35
2019-07-29,Product B,107,86
2019-07-29,Product C,132,49
2019-07-30,Product A,101,4
2019-07-30,Product B,101,91
2019-07-30,Product C,182,52
2019-07-31,Product A,114,41
2019-07-31,Product B,103,88
2019-07-31,Product C,68,22
2019-08-01,Product A,101,42
2019-08-01,Product B,133,29
2019-08-01,Product C,173,25
2019-08-02,Product A,198,28
2019-08-02,Product B,95,19
2019-08-02,Product C,143,29
2019-08-03,Product A,79,97
2019-08-03,Product B,139,45
2019-08-03,Product C,66,80
2019-08-04,Product A,166,64
2019-08-04,Product B,146,63
2019-08-04,Product C,141,51
2019-08-05,Product A,101,6
2019-08-05,Product B,113,53
2019-08-05,Product C,191,25
2019-08-06,Product A,50,15
2019-08-06,Product B,153,67
2019-08-06,Product C,163,21
2019-08-07,Product A,154,81
2019-08-07,Product B,112,84
2019-08-07,Product C,114,18
2019-08-08,Product A,161,26
2019-08-08,Product B,58,56
2019-08-08,Product C,173,91
2019-08-09,Product A,114,10
2019-08-09,Product B,92,63
2019-08-09,Product C,143,89
2019-08-10,Product A,159,99
2019-08-10,Product B,100,13
2019-08-10,Product C,156,7
2019-08-11,Product A,80,40
2019-08-11,Product B,87,24
2019-08-11,Product C,176,75
2019-08-12,Product A,171,0
2019-08-12,Product B,131,62
2019-08-12,Product C,175,16
2019-08-13,Product A,114,48
2019-08-13,Product B,56,10
2019-08-13,Product C,106,54
2019-08-14,Product A,94,55
2019-08-14,Product B,125,4
2019-08-14,Product C,128,88
2019-08-15,Product A,64,9
2019-08-15,Product B,164,47
2019-08-15,Product C,102,39
2019-08-16,Product A,198,97
2019-08-16,Product B,84,53
2019-08-16,Product C,165,11
2019-08-17,Product A,166,26
2019-08-17,Product B,157,87
2019-08-17,Product C,110,62
2019-08-18,Product A,54,2
2019-08-18,Product B,107,78
2019-08-18,Product C,116,76
2019-08-19,Product A,137,23
2019-08-19,Product B,54,17
2019-08-19,Product C,175,29
2019-08-20,Product A,150,73
2019-08-20,Product B,158,63
2019-08-20,Product C,188,73
2019-08-21,Product A,121,26
2019-08-21,Product B,133,96
2019-08-21,Product C,161,55
2019-08-22,Product A,131,85
2019-08-22,Product B,66,99
2019-08-22,Product C,93,51
2019-08-23,Product A,129,71
2019-08-23,Product B,127,58
2019-08-23,Product C,71,51
2019-08-24,Product A,79,4
2019-08-24,Product B,168,26
2019-08-24,Product C,166,63
2019-08-25,Product A,139,75
2019-08-25,Product B,113,99
2019-08-25,Product C,194,79
2019-08-26,Product A,200,0
2019-08-26,Product B,85,84
2019-08-26,Product C,124,43
2019-08-27,Product A,85,49
2019-08-27,Product B,86,26
2019-08-27,Product C,90,93
2019-08-28,Product A,159,41
2019-08-28,Product B,167,47
2019-08-28,Product C,188,90
2019-08-29,Product A,62,97
2019-08-29,Product B,145,68
2019-08-29,Product C,172,87
2019-08-30,Product A,194,75
2019-08-30,Product B,69,55
2019-08-30,Product C,170,7
2019-08-31,Product A,86,91
2019-08-31,Product B,107,10
2019-08-31,Product C,61,54
2019-09-01,Product A,85,9
2019-09-01,Product B,150,76
2019-09-01,Product C,131,94
2019-09-02,Product A,114,80
2019-09-02,Product B,78,27
2019-09-02,Product C,73,19
2019-09-03,Product A,164,76
2019-09-03,Product B,104,35
2019-09-03,Product C,82,20
2019-09-04,Product A,70,41
2019-09-04,Product B,100,5
2019-09-04,Product C,80,49
2019-09-05,Product A,77,82
2019-09-05,Product B,197,12
2019-09-05,Product C,87,79
2019-09-06,Product A,175,6
2019-09-06,Product B,161,17
2019-09-06,Product C,195,11
2019-09-07,Product A,70,97
2019-09-07,Product B,110,58
2019-09-07,Product C,159,75
2019-09-08,Product A,73,94
2019-09-08,Product B,92,0
2019-09-08,Product C,183,88
2019-09-09,Product A,150,38
2019-09-09,Product B,112,37
2019-09-09,Product C,102,53
2019-09-10,Product A,61,10
2019-09-10,Product B,188,21
2019-09-10,Product C,95,13
2019-09-11,Product A,125,18
2019-09-11,Product B,124,33
2019-09-11,Product C,108,50
2019-09-12,Product A,143,73
2019-09-12,Product B,197,41
2019-09-12,Product C,68,67
2019-09-13,Product A,102,80
2019-09-13,Product B,171,57
2019-09-13,Product C,78,90
2019-09-14,Product A,107,24
2019-09-14,Product B,149,59
2019-09-14,Product C,157,35
2019-09-15,Product A,84,58
2019-09-15,Product B,132,28
2019-09-15,Product C,198,1
2019-09-16,Product A,194,16
2019-09-16,Product B,176,9
2019-09-16,Product C,109,15
2019-09-17,Product A,81,33
2019-09-17,Product B,113,25
2019-09-17,Product C,111,45
2019-09-18,Product A,193,98
2019-09-18,Product B,79,57
2019-09-18,Product C,68,17
2019-09-19,Product A,70,20
2019-09-19,Product B,178,9
2019-09-19,Product C,77,19
2019-09-20,Product A,109,35
2019-09-20,Product B,172,27
2019-09-20,Product C,135,63
2019-09-21,Product A,199,0
2019-09-21,Product B,101,91
2019-09-21,Product C,51,67
2019-09-22,Product A,115,43
2019-09-22,Product B,169,70
2019-09-22,Product C,75,34
2019-09-23,Product A,186,46
2019-09-23,Product B,157,73
2019-09-23,Product C,151,98
2019-09-24,Product A,177,12
2019-09-24,Product B,178,9
2019-09-24,Product C,108,97
2019-09-25,Product A,70,58
2019-09-25,Product B,159,30
2019-09-25,Product C,169,76
2019-09-26,Product A,139,40
2019-09-26,Product B,120,71
2019-09-26,Product C,160,59
2019-09-27,Product A,158,72
2019-09-27,Product B,147,2
2019-09-27,Product C,118,19
2019-09-28,Product A,76,14
2019-09-28,Product B,112,62
2019-09-28,Product C,141,25
2019-09-29,Product A,123,96
2019-09-29,Product B,148,96
2019-09-29,Product C,86,95
2019-09-30,Product A,179,34
2019-09-30,Product B,118,24
2019-09-30,Product C,191,58
2019-10-01,Product A,57,79
2019-10-01,Product B,167,20
2019-10-01,Product C,76,90
2019-10-02,Product A,124,50
2019-10-02,Product B,170,76
2019-10-02,Product C,118,26
2019-10-03,Product A,200,20
2019-10-03,Product B,54,53
2019-10-03,Product C,137,28
2019-10-04,Product A,51,35
2019-10-04,Product B,191,8
2019-10-04,Product C,59,91
2019-10-05,Product A,112,14
2019-10-05,Product B,154,16
2019-10-05,Product C,132,5
2019-10-06,Product A,118,43
2019-10-06,Product B,171,57
2019-10-06,Product C,115,3
2019-10-07,Product A,189,60
2019-10-07,Product B,195,96
2019-10-07,Product C,78,98
2019-10-08,Product A,195,18
2019-10-08,Product B,169,2
2019-10-08,Product C,117,6
2019-10-09,Product A,99,70
2019-10-09,Product B,188,73
2019-10-09,Product C,127,85
2019-10-10,Product A,145,47
2019-10-10,Product B,175,70
2019-10-10,Product C,181,94
2019-10-11,Product A,162,16
2019-10-11,Product B,124,31
2019-10-11,Product C,166,6
2019-10-12,Product A,123,99
2019-10-12,Product B,66,1
2019-10-12,Product C,50,35
2019-10-13,Product A,164,21
2019-10-13,Product B,116,53
2019-10-13,Product C,166,57
2019-10-14,Product A,99,52
2019-10-14,Product B,132,42
2019-10-14,Product C,200,81
2019-10-15,Product A,71,89
2019-10-15,Product B,145,81
2019-10-15,Product C,65,39
2019-10-16,Product A,124,6
2019-10-16,Product B,94,14
2019-10-16,Product C,91,16
2019-10-17,Product A,92,21
2019-10-17,Product B,144,9
2019-10-17,Product C,179,95
2019-10-18,Product A,177,28
2019-10-18,Product B,146,11
2019-10-18,Product C,87,15
2019-10-19,Product A,111,52
2019-10-19,Product B,172,76
2019-10-19,Product C,112,63
2019-10-20,Product A,61,52
2019-10-20,Product B,73,96
2019-10-20,Product C,130,41
2019-10-21,Product A,188,57
2019-10-21,Product B,61,29
2019-10-21,Product C,189,24
2019-10-22,Product A,196,83
2019-10-22,Product B,73,37
2019-10-22,Product C,122,8
2019-10-23,Product A,73,67
2019-10-23,Product B,124,83
2019-10-23,Product C,99,43
2019-10-24,Product A,81,95
2019-10-24,Product B,132,59
2019-10-24,Product C,143,8
2019-10-25,Product A,84,29
2019-10-25,Product B,142,66
2019-10-25,Product C,92,23
2019-10-26,Product A,93,16
2019-10-26,Product B,81,82
2019-10-26,Product C,53,20
2019-10-27,Product A,66,71
2019-10-27,Product B,110,33
2019-10-27,Product C,151,38
2019-10-28,Product A,200,99
2019-10-28,Product B,51,63
2019-10-28,Product C,59,36
2019-10-29,Product A,185,88
2019-10-29,Product B,149,50
2019-10-29,Product C,197,79
2019-10-30,Product A,170,14
2019-10-30,Product B,81,86
2019-10-30,Product C,50,31
2019-10-31,Product A,65,24
2019-10-31,Product B,165,48
2019-10-31,Product C,191,83
2019-11-01,Product A,93,91
2019-11-01,Product B,177,18
2019-11-01,Product C,90,66
2019-11-02,Product A,121,32
2019-11-02,Product B,101,47
2019-11-02,Product C,180,27
2019-11-03,Product A,116,57
2019-11-03,Product B,142,74
2019-11-03,Product C,120,28
2019-11-04,Product A,103,92
2019-11-04,Product B,98,6
2019-11-04,Product C,114,60
2019-11-05,Product A,100,11
2019-11-05,Product B,195,16
2019-11-05,Product C,144,99
2019-11-06,Product A,88,57
2019-11-06,Product B,122,52
2019-11-06,Product C,101,13
2019-11-07,Product A,93,1
